clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
051,2027-02-01,lunes,07:50,100,II,20,,,,,,,clases/semana-20
052,2027-02-04,jueves,06:55,55,II,20,,,,,,,clases/semana-20
053,2027-02-05,viernes,13:40,50,II,20,,,,,,,clases/semana-20
054,2027-02-08,lunes,07:50,100,II,21,,,,,,,clases/semana-21
055,2027-02-11,jueves,06:55,55,II,21,,,,,,,clases/semana-21
056,2027-02-12,viernes,13:40,50,II,21,,,,,,,clases/semana-21
057,2027-02-15,lunes,07:50,100,II,22,,,,,,,clases/semana-22
058,2027-02-18,jueves,06:55,55,II,22,,,,,,,clases/semana-22
059,2027-02-19,viernes,13:40,50,II,22,,,,,,,clases/semana-22
060,2027-02-22,lunes,07:50,100,II,23,,,,,,,clases/semana-23
061,2027-02-25,jueves,06:55,55,II,23,,,,,,,clases/semana-23
062,2027-02-26,viernes,13:40,50,II,23,,,,,,,clases/semana-23
063,2027-03-01,lunes,07:50,100,II,24,,,,,,,clases/semana-24
064,2027-03-04,jueves,06:55,55,II,24,,,,,,,clases/semana-24
065,2027-03-05,viernes,13:40,50,II,24,,,,,,,clases/semana-24
066,2027-03-08,lunes,07:50,100,II,25,,,,,,,clases/semana-25
067,2027-03-11,jueves,06:55,55,II,25,,,,,,,clases/semana-25
068,2027-03-12,viernes,13:40,50,II,25,,,,,,,clases/semana-25
069,2027-03-15,lunes,07:50,100,II,26,,,,,,,clases/semana-26
070,2027-03-18,jueves,06:55,55,II,26,,,,,,,clases/semana-26
071,2027-03-19,viernes,13:40,50,II,26,,,,,,,clases/semana-26
072,2027-03-29,lunes,07:50,100,III,27,,,,,,,clases/semana-27
073,2027-04-01,jueves,06:55,55,III,27,,,,,,,clases/semana-27
074,2027-04-02,viernes,13:40,50,III,27,,,,,,,clases/semana-27
075,2027-04-05,lunes,07:50,100,III,28,,,,,,,clases/semana-28
076,2027-04-08,jueves,06:55,55,III,28,,,,,,,clases/semana-28
077,2027-04-09,viernes,13:40,50,III,28,,,,,,,clases/semana-28
078,2027-04-12,lunes,07:50,100,III,29,,,,,,,clases/semana-29
079,2027-04-15,jueves,06:55,55,III,29,,,,,,,clases/semana-29
080,2027-04-16,viernes,13:40,50,III,29,,,,,,,clases/semana-29
081,2027-04-19,lunes,07:50,100,III,30,,,,,,,clases/semana-30
082,2027-04-22,jueves,06:55,55,III,30,,,,,,,clases/semana-30
083,2027-04-23,viernes,13:40,50,III,30,,,,,,,clases/semana-30
084,2027-04-26,lunes,07:50,100,III,31,,,,,,,clases/semana-31
085,2027-04-29,jueves,06:55,55,III,31,,,,,,,clases/semana-31
086,2027-04-30,viernes,13:40,50,III,31,,,,,,,clases/semana-31
087,2027-05-03,lunes,07:50,100,III,32,,,,,,,clases/semana-32
088,2027-05-06,jueves,06:55,55,III,32,,,,,,,clases/semana-32
089,2027-05-07,viernes,13:40,50,III,32,,,,,,,clases/semana-32
090,2027-05-13,jueves,06:55,55,III,33,,,,,,,clases/semana-33
091,2027-05-14,viernes,13:40,50,III,33,,,,,,,clases/semana-33
092,2027-05-17,lunes,07:50,100,III,34,,,,,,,clases/semana-34
093,2027-05-20,jueves,06:55,55,III,34,,,,,,,clases/semana-34
094,2027-05-21,viernes,13:40,50,III,34,,,,,,,clases/semana-34
095,2027-05-24,lunes,07:50,100,III,35,,,,,,,clases/semana-35
096,2027-05-27,jueves,06:55,55,III,35,,,,,,,clases/semana-35
097,2027-05-28,viernes,13:40,50,III,35,,,,,,,clases/semana-35
098,2027-06-03,jueves,06:55,55,III,36,,,,,,,clases/semana-36
099,2027-06-04,viernes,13:40,50,III,36,,,,,,,clases/semana-36
100,2027-06-10,jueves,06:55,55,III,37,,,,,,,clases/semana-37
101,2027-06-11,viernes,13:40,50,III,37,,,,,,,clases/semana-37
