file,page,grade,dba,kind,description,x,y,w,h
figs/g03_p23_1.png,23,3,2,figure,Cuatro fichas (billetes) de 100.,61,155,79,142
figs/g03_p23_2.png,23,3,2,figure,Tres fichas de 10 y cinco monedas de 1.,157,169,163,113
figs/g03_p23_3.png,23,3,2,figure,Hoja con procedimientos escritos de cálculo (algoritmos de suma y resta) de dos estudiantes.,59,368,264,175
figs/g03_p23_4.png,23,3,3,figure,Monedas por ambas caras.,404,613,125,67
figs/g03_p24_1.png,24,3,4,figure,Dos regiones planas (siluetas) para comparar su superficie y su contorno.,371,488,197,110
figs/g03_p25_1.png,25,3,6,figure,"Cuerpos geométricos: prisma rectangular, prisma triangular y cilindro.",376,450,170,84
figs/g03_p26_1.png,26,3,7,figure,Secuencia de imágenes de una figura (hoja) girada y reflejada: transformaciones en el plano.,368,563,187,178
figs/g03_p27_1.png,27,3,8,figure,"Arreglos triangulares de puntos: 1, 3, 6, 10, 15, …, 28 (números triangulares).",65,515,253,90
figs/g03_p27_2.png,27,3,8,table,"Tabla para completar: posición (primero, segundo, …, noveno), número de puntos (1, 3, 6, …) y descripción del proceso para obtener el siguiente arreglo.",332,155,256,218
figs/g03_p28_2.png,28,3,10,table,"Medio de transporte usado para llegar al colegio: caminando 10, bicicleta 14, bus 25, taxi 5, carro particular 12; total 66.",332,438,247,154
figs/g03_p29_1.png,29,3,11,table,"Calendario del mes con registro diario del tiempo: del 16 al 27 predominan días lluviosos (nubes), con sol los días 19 y 21; el día 28 es la salida.",59,568,264,173
figs/g04_p30_1.png,30,4,1,figure,"Receta con ingredientes y cantidades (tazas de agua, limones, cucharadas de azúcar) para escalar proporciones.",64,472,257,228
figs/g04_p31_1.png,31,4,2,figure,"Fichas con las fracciones 1/10, 1/2 y 1/100, y una ficha con el número 1.",112,368,168,134
figs/g04_p31_2.png,31,4,3,figure,Balanza en equilibrio con un cubo en un plato y esferas en el otro.,358,394,222,92
figs/g04_p32_1.png,32,4,3,figure,Balanza con un cubo y esferas.,121,160,132,86
figs/g04_p32_2.png,32,4,3,figure,Dos balanzas con distintas combinaciones de cubos y esferas para deducir equivalencias de peso.,61,265,262,120
figs/g04_p33_1.png,33,4,5,table,"Receta: ingredientes (1 taza de azúcar, 125 g de mantequilla, 2 huevos, 2 cucharadas de esencia de vainilla, 1½ tazas de harina, 1½ cucharaditas de polvo de hornear) y pasos de preparación.",73,553,230,187
figs/g04_p34_1.png,34,4,6,figure,Figuras (animales) construidas con cubos de colores.,76,164,238,106
figs/g04_p34_2.png,34,4,6,figure,Figura formada por cuadrados sobre cuadrícula (desarrollo plano / área por conteo).,224,287,70,122
figs/g04_p34_3.png,34,4,7,figure,"Fotografía de un paisaje de granja en un marco de película, tamaño original.",356,162,221,204
figs/g04_p34_4.png,34,4,7,figure,"Versiones (b) y (d) de la fotografía del paisaje con otras dimensiones (ampliación/reducción, deformación).",488,457,72,206
figs/g04_p34_5.png,34,4,7,figure,Versión (a) de la fotografía del paisaje.,361,464,101,105
figs/g04_p34_6.png,34,4,7,figure,"Versión (c) de la fotografía del paisaje, ancha y baja.",361,577,101,62
figs/g04_p35_1.png,35,4,8,figure,"Figura 1: poste vertical graduado con una pelota que cae, marcando alturas.",66,577,58,149
figs/g04_p35_2.png,35,4,8,figure,"Trayectoria de una pelota que rebota, con posiciones sucesivas.",208,623,113,79
figs/g04_p35_3.png,35,4,9,figure,Calculadora científica con la que se exploran el signo igual y las operaciones repetidas.,443,428,77,96
figs/g04_p36_1.png,36,4,10,table,Vaca y tabla de datos por categorías (producción registrada).,356,140,223,120
figs/g05_p37_1.png,37,5,1,figure,Cuadrícula dividida en regiones con frutas y objetos para expresar partes de un todo como fracciones.,100,517,194,192
figs/g05_p37_2.png,37,5,2,figure,Cálculo de 18 × 12 por descomposición: 2 × (9×9) + 6 × (3²) = 2 × (9²) + 6 × (3²) = 2 × 81 + 6 × 9 = 162 + 54 = 216.,491,685,89,53
figs/g05_p38_1.png,38,5,3,figure,Regla graduada de 0 a 3 con una fracción señalada con flecha.,359,164,206,53
figs/g05_p38_2.png,38,5,3,figure,Regla graduada de 0 a 3 con la fracción 13/8 señalada.,359,253,206,53
figs/g05_p38_3.png,38,5,3,figure,Regla graduada de 0 a 3 con otra fracción señalada.,359,349,206,43
figs/g05_p41_1.png,41,5,7,figure,Mapa urbano con marcadores de lugares para describir ubicaciones y rutas.,71,443,250,180
figs/g05_p41_2.png,41,5,8,figure,Vaso que se llena de agua bajo un grifo (capacidad y volumen).,385,462,151,142
figs/g05_p42_1.png,42,5,10,figure,"Representaciones de datos: diagrama de barras y diagrama circular, con zapatos como tema.",373,500,182,144
figs/g05_p44_1.png,44,5,12,figure,Ruleta de 12 sectores numerados (algunos números en rojo).,71,162,115,137
figs/g05_p44_2.png,44,5,12,figure,Ruleta de 20 sectores numerados.,208,191,96,108
figs/g06_p45_1.png,45,6,1,table,"Tiempos por vuelta (minutos) de los autos A, B y C: vuelta 1: 1,573 / 1,580 / 1,593; vuelta 2: 1,644 / 1,592 / 1,632; vuelta 3: 1,790 / 1,682 / 1,604.",68,572,252,60
figs/g06_p46_1.png,46,6,2,figure,Caldera con un dispositivo medidor (corcho que sube y baja) y un obrero que la controla.,148,191,118,170
figs/g06_p46_2.png,46,6,3,figure,Tres estados del dispositivo medidor con el corcho a distintas alturas.,332,438,247,62
figs/g06_p47_1.png,47,6,4,figure,"Dos estudiantes junto a cuerpos geométricos de colores (prismas, pirámides) y moldes planos, que se quieren forrar con papel.",102,304,199,130
figs/g06_p47_2.png,47,6,5,figure,Portería de fútbol vista desde arriba con los ángulos de tiro de dos jugadores.,359,548,204,91
figs/g06_p47_3.png,47,6,5,figure,Barrera de 7 jugadores numerados en fila frente a la portería.,344,659,108,82
figs/g06_p47_4.png,47,6,5,figure,Barrera de jugadores dispuesta en diagonal frente a la portería.,469,659,108,85
figs/g06_p48_1.png,48,6,6,figure,Botellas y vasos con líquido de distintas capacidades.,66,587,254,149
figs/g06_p48_2.png,48,6,7,figure,Patrón de tejido en cuadrícula (mosaico de chaquiras) con simetrías.,335,452,245,89
figs/g06_p49_2.png,49,6,8,table,"Tarifas de transporte: Empresa A hasta 300 kg $300.000, más de 300 kg $300.000 + $2.000 por kilo extra; Empresa B hasta 200 kg $250.000, más $1.000 por kilo extra; Empresa C hasta 400 kg $400.000, más $500 por kilo extra.",332,155,247,204
figs/g06_p51_1.png,51,6,11,figure,Diagrama de barras horizontales: velocidad de descarga en Mbps (100–150) para 10 mediciones.,347,558,221,115
figs/g06_p52_1.png,52,6,11,figure,Segundo diagrama de barras horizontales de velocidad de descarga en Mbps para 10 mediciones.,76,215,204,118
figs/g07_p54_1.png,54,7,3,figure,Calculadora con teclas marcadas como averiadas: la tecla cinco (5) y el punto decimal (.).,421,503,84,120
figs/g07_p56_1.png,56,7,6,figure,Tablero con la letra A y dos gráficas en papel cuadriculado: una recta y una curva.,61,558,262,182
figs/g07_p56_2.png,56,7,7,figure,Cuatro básculas con pollos que marcan su peso en libras.,353,530,214,210
figs/g07_p57_1.png,57,7,8,table,Tablas de frecuencia del peso (gramos) de los peces en tres estanques.,59,616,266,113
figs/g07_p57_2.png,57,7,9,figure,"Menú de almuerzo: sopa o fruta; pollo, carne o ensalada; arroz, papa o plátano (para un diagrama de árbol).",332,501,223,239
figs/g08_p59_2.png,59,8,2,figure,"Expresiones con símbolos: √(△ + □) comparada con √△ + √□, donde △ y □ son números cuadrados.",364,550,225,49
figs/g08_p60_1.png,60,8,3,figure,Tarjetas con los argumentos algebraicos de Carlos y de José sobre una propiedad de los números.,359,184,221,190
figs/g08_p61_1.png,61,8,4,figure,Hoja con una secuencia de figuras hechas con cubos y una tabla para registrar el patrón.,88,275,235,161
figs/g08_p61_2.png,61,8,5,figure,Persona llenando un recipiente con líquido (situación de variación).,354,356,55,96
figs/g08_p61_3.png,61,8,5,figure,Persona llenando un recipiente de otra forma (comparar la variación de la altura).,476,356,103,118
figs/g08_p62_1.png,62,8,6,figure,Figura con simetría rotacional (hexágono estilizado).,164,553,58,50
figs/g08_p62_2.png,62,8,6,figure,Logotipo con simetría (arcos entrelazados).,239,553,65,65
figs/g08_p62_3.png,62,8,6,figure,Figura de tres pétalos con simetría rotacional de orden 3.,239,630,65,62
figs/g08_p62_4.png,62,8,7,figure,Cuadrado sobre cuadrícula con una diagonal trazada.,342,601,96,96
figs/g08_p62_5.png,62,8,7,figure,Cuadrado inclinado inscrito en otro cuadrado sobre cuadrícula (áreas y teorema de Pitágoras).,486,601,94,96
figs/g08_p64_1.png,64,8,10,figure,Cubo con una araña en S y una mosca en F; el camino por las caras pasa por X (camino más corto).,128,592,132,132
figs/g08_p65_1.png,65,8,11,figure,Gráfica ilustrada de producción de café por hectárea.,66,157,252,194
figs/g08_p65_2.png,65,8,11,figure,"Gráfica «Producción de café por hectárea»: arrobas por hectárea 101, 151, 201, 251, 301, 401 → producción 180, 274, 317, 379, 470, 510.",131,371,180,144
figs/g08_p65_3.png,65,8,12,table,Tabla de frecuencias: número de hermanos según rangos de edad.,335,371,245,127
figs/g09_p66_1.png,66,9,1,figure,"Dos estudiantes inflando globos de distinto tamaño, que representan esferas cuyos diámetros guardan una razón.",121,536,146,91
figs/g09_p67_1.png,67,9,2,figure,"Parábola en el plano cartesiano (x de −3 a 3) con vértice marcado c, y tablas de valores.",85,232,230,154
figs/g09_p67_2.png,67,9,3,figure,Espiral áurea construida sobre rectángulos de Fibonacci en papel cuadriculado.,383,227,180,118
figs/g09_p67_3.png,67,9,3,table,Tabla de valores de la sucesión (términos 1 a 10) para completar.,337,400,249,58
figs/g09_p68_1.png,68,9,4,figure,Cono y cilindro con la misma base y la misma altura h.,116,553,142,79
figs/g09_p68_2.png,68,9,5,figure,Escuadra y transportador (instrumentos de medición de ángulos).,421,553,89,96
figs/g09_p69_1.png,69,9,5,figure,"Figura 2: medición de la altura H de un árbol por semejanza de triángulos, con una persona de altura h.",107,260,185,205
figs/g09_p69_2.png,69,9,5,table,"Tabla para completar: nombre del cuadrilátero, lados paralelos, lados congruentes, ángulos.",73,524,247,89
figs/g09_p69_3.png,69,9,6,figure,Triángulos semejantes ABC y A'B'C'.,347,498,230,166
figs/g09_p70_1.png,70,9,7,table,"Tabla para completar: tiempo, velocidad, variación de velocidad, variación de tiempo, variación velocidad / variación tiempo.",61,455,259,122
figs/g09_p70_2.png,70,9,7,figure,Motocicleta en una pista y un tacómetro (prueba de velocidad).,61,678,266,62
figs/g09_p71_1.png,71,9,8,figure,"Terrenos con lados de longitudes a, b, c, d, e (a = b, c = e, d < a, d < c) para expresar el costo de la cerca.",66,169,91,295
figs/g09_p71_2.png,71,9,8,figure,Barra rectangular con flecha (esquema de corte o medida).,176,275,108,38
figs/g09_p71_3.png,71,9,8,figure,Segunda barra rectangular con flecha.,176,352,108,36
figs/g09_p71_4.png,71,9,8,figure,Tercera barra rectangular con flecha.,174,428,110,36
figs/g09_p71_5.png,71,9,9,figure,Tablero de ajedrez para contar cuadrados y rectángulos.,433,380,89,103
figs/g09_p71_6.png,71,9,9,table,"Conteo de rectángulos en una cuadrícula: número de rectángulos verticales, horizontales, total y patrón observado (1² = 1, 2² = 4, 3² = 9, …).",337,503,242,149
figs/g09_p72_1.png,72,9,10,figure,Diagrama de caja y bigotes del rendimiento físico de dos grupos antes del entrenamiento (tiempo en minutos).,332,157,247,158
figs/g09_p72_2.png,72,9,10,figure,Diagrama de caja y bigotes del rendimiento físico de los grupos después del entrenamiento.,330,332,250,175
figs/g10_p74_1.png,74,10,1,figure,Construcción geométrica con triángulos rectángulos y arcos de circunferencia.,157,481,62,62
figs/g10_p74_2.png,74,10,2,figure,Máquina procesadora: números que ingresan y números que salen (función).,366,469,190,137
figs/g10_p75_1.png,75,10,3,figure,Ondas circulares en el agua cuyo radio aumenta con el tiempo.,361,198,211,101
figs/g10_p75_2.png,75,10,3,table,"Tabla: radio (m), área del círculo (m²), tiempo (s), rapidez (m/s); por ejemplo radio 0,1 m, área 0,09π m² en t = 3 s.",332,421,248,89
figs/g10_p76_1.png,76,10,4,figure,Círculos concéntricos de colores (tipo diana) con un radio marcado.,128,635,130,106
figs/g10_p77_1.png,77,10,6,figure,Gráfica de p(t) en función del tiempo T: curva creciente en forma de S.,332,347,247,91
figs/g10_p78_1.png,78,10,7,figure,"Gráfica de velocidad (m/s, de −100 a 200) contra tiempo (s, de 0 a 14) formada por segmentos.",73,460,228,180
figs/g10_p79_1.png,79,10,9,table,Durabilidad (meses) de 20 llantas de la marca 1 y la marca 2.,344,157,235,257
figs/g11_p81_1.png,81,11,1,figure,Dos tableros con expresiones y desigualdades escritas.,61,469,262,82
figs/g11_p81_2.png,81,11,1,figure,Regla graduada de 0 a 30 cm.,52,563,274,41
figs/g11_p81_3.png,81,11,2,figure,Resolución escrita de la desigualdad: 2x < 5x + 4 < 10 → 0 < 3x + 4 < 10 − 4 → 0 < 3x < 6.,349,584,230,156
figs/g11_p82_1.png,82,11,2,figure,Desigualdad escrita: 3 < x < 18.,91,237,172,117
figs/g11_p83_1.png,83,11,4,table,"Rendimiento productivo por disco: longitud de lámina cortada (mm) y tiempo (min): disco 1: 2060, 2,23; disco 2: 2070, 2,45; disco 3: 2030, 2,17; disco 4: 2080, 2,65.",332,157,254,151
figs/g11_p84_2.png,84,11,6,figure,"Fotografías de patrones en la naturaleza (espirales y simetrías: gota, planta, mariposa, helecho).",335,467,245,53
figs/g11_p85_1.png,85,11,7,figure,Cubo con una araña en S y una mosca en F; trayectoria punteada sobre las caras (camino más corto).,109,565,161,154
figs/g11_p85_2.png,85,11,8,figure,"Trayectoria de aterrizaje de un avión: curva desde la altitud de crucero h hasta el aeropuerto, en ejes X–Y.",371,630,187,110
figs/g11_p86_2.png,86,11,10,table,"Preferencia por género: deportes (hombres 90, mujeres 88, total 178); música (93, 74, 167); total (183, 162, 345).",332,568,245,108
